seller_id,seller_zip_code_prefix,seller_city,seller_state
cca3071e3e9bb7d12640c9fbe2301306,14940,ibitinga,SP
681fce914360217db47784ae28905a96,83709,araucaria,PR
8f2ce03f928b567e3d56181ae20ae952,5141,pirituba,SP
855668e0971d4dfd7bef1b6a4133b41b,13257,itatiba,SP
900ba814c251a692506d7834c1218441,13328,salto,SP
955fee9216a65b617aa5c0531780ce60,4782,sao paulo,SP
d91fb3b7d041e83b64a00a3edfb37e4f,11704,praia grande,SP
aba1721a889e04decc910aa13b768ef4,5729,sao paulo,SP
e333046ce6517bd8bb510291d44f0130,18950,ipaussu,SP
cca3071e3e9bb7d12640c9fbe2301307,14940,ibitinga,SP
7a67c85e85bb2ce8582c35f2203ad736,3426,sao paulo,SP
4a3ca9315b744ce9f8e9374361493884,14940,ibitinga,SP
d6b1ce66b035a475f00c017792ff9769,13327,salto,SP
70c27847eca8195c983ed7e798c56743,20930,rio de janeiro,RJ
91f0eec23d4a61d7d7caeefa3f0ad1ca,88704,tubarao,SC
d91fb3b7d041e83b64a00a3edfb37e4g,11704,praia grande,SP
1f50f920176fa81dab994f9023523100,15025,sao jose do rio preto,SP
e333046ce6517bd8bb510291d44f0131,18950,ipaussu,SP
7e1fb0a3ebfb01ffb3a7dae98bf3238d,14403,franca,SP
4d6d651bd7684af3fffabd5f08d12e5a,17209,jau,SP
9b013e03b2ab786505a1d3b5c0756754,11450,vicente de carvalho,SP
81ed90f07c0bacb7594940ba2ef676aa,35500,divinopolis,MG
de722cd6dad950a92b7d4f82673f8833,51250,recife,PE
70c27847eca8195c983ed7e798c56744,20930,rio de janeiro,RJ
a673821011d0cec28146ea42f5ab767f,3809,sao paulo,SP
218f991754f360af9c2daa5e0b8e990c,1123,sao paulo,SP
dbc22125167c298ef99da25668e1011f,37564,borda da mata,MG
9616352088dcf83a7c06637f4ebf1c80,87504,umuarama,PR
6219ba2359cfb97f2e38fd4c321eb309,2110,sao paulo,SP
620c87c171fb2a6dd6e8bb4dec959fc6,25645,petropolis,RJ
ca3bd7cd9f149df75950150d010fe4a2,4361,sao paulo,SP
4a3ca9315b744ce9f8e9374361493885,14940,ibitinga,SP
432c37c9dfba871172ec162e20118b8c,70235,brasilia,DF
ea8482cd71df3c1969d7b9473ff13abc,4160,sao paulo,SP
eb5b6204dde3a6e03b5f1bb8479f055b,6900,embu guacu,SP
7c1fea10b5b006671d608b1d7c446ec4,18550,boituva,SP
670c26e0f1bf8d0576271d5cfaec6d2b,87025,maringa,PR
0d85bbda9889ce1f7e63778d24f346eb,38414,uberlandia,MG
0432ead42b6c8a0bdf68154add917fdf,9320,maua,SP
6d803cb79cc31c41c4c789a75933b3c7,14600,sao joaquim da barra,SP
1f50f920176fa81dab994f9023523101,15025,sao jose do rio preto,SP
06579cb253ecd5a3a12a9e6eb6bf8f47,4007,sao paulo - sp,SP
e9779976487b77c6d4ac45f75ec7afe9,11701,praia grande,SP
259f7b5e6e482c230e5bfaa670b6bb8h,8550,poa,SP
b14db04aa7881970e83ffa9426897925,18048,sorocaba,SP
382229d1e840115ffe3dbf5ff460e417,23092,rio de janeiro,RJ
634964b17796e64304cadf1ad3050fb7,21840,rio de janeiro,RJ
bb7a14e229b1c95156719c3d9552eeee,23095,rio de janeiro,RJ
fa1c13f2614d7b5c4749cbc52fecda94,13170,sumare,SP
955fee9216a65b617aa5c0531780ce61,4782,sao paulo,SP
276677b5d08786d5dce7c2149dcce48b,31730,belo horizonte,MG
2a7dc43cecabf23403078e2188437d1d,4142,sao paulo,SP
54965bbe3e4f07ae045b90b0b8541f52,85851,foz do iguacu,PR
955fee9216a65b617aa5c0531780ce62,4782,sao paulo,SP
da8622b14eb17ae2831f4ac5b9dab84b,13405,piracicaba,SP
c8b0e2b0a7095e5d8219575d5e7e1181,8598,itaquaquecetuba,SP
7c67e1448b00f6e969d365cea6b010ac,8577,itaquaquecetuba,SP
ff1fb4c404b2efe68b03350a8dc24123,8710,mogi das cruzes,SP
2089a6d640999f9b9141ac719b2af596,13566,sao carlos,SP
094ced053e257ae8cae57205592d6712,14095,ribeirao preto,SP
5b33b527da3c5b969cc99dc435cad09b,87702,paranavai,PR
b1ac6ea7895bc3dd6f0f6f4abbdd2821,92030,canoas,RS
4b9750c8ad28220fe6702d4ecb7c898g,13484,limeira,SP
59b22a78efb79a4797979612b885db36,38414,uberlandia,MG
20d83f3ef0e6925fd74bfd59170babf7,2804,sao paulo,SP
a61cc04793308395a840807104365121,13240,jarinu,SP
9d5604a1f112324ad6b2aa552122e0fb,88075,florianopolis,SP
9f505651f4a6abe901a56cdc21508028,4102,sao paulo,SP
709e16e2b25c7474d980076c6bfc4806,16200,birigui,SP
abe42c5d03695b4257b5c6cbf4e6784e,21235,rio de janeiro,RJ
28f10b1c5e5abb9d4857745bede6147c,4250,sao paulo,SP
e9779976487b77c6d4ac45f75ec7afe8,11701,praia grande,SP
b92e3c8f9738272ff7c59e111e108d7c,36502,uba,MG
d2374cbcbb3ca4ab1086534108cc3ab8,14940,ibitinga,SP
f8db351d8c4c4c22c6835c19a46f01b1,13324,salto,SP
34f563c82a85b99ae9e6d60db5fc2e28,93700,campo bom,RS
522620dcb18a6b31cd7bdf73665113a9,85801,cascavel,PR
4c03b9dd4c11ee2cb35c96c49efc9420,13232,campo limpo paulista,SP
2059c39f76271d4ca3f15b5ffaccc8b8,81930,curitiba,PR
8d46553a36e68f95350a200c12f8f2e2,13056,campinas,SP
c70c1b0d8ca86052f45a432a38b73958,13186,hortolandia,SP
2138ccb85b11a4ec1e37afbd1c8eda1k,8250,sao paulo,SP
31da954dc0855f2495c6310f70a2f931,13601,araras,SP
1900267e848ceeba8fa32d80c1a5f5a8,14940,ibitinga,SP
9d39404483343dd55c7ae254494d8388,1044,sao paulo,SP
1025f0e2d44d7041d6cf58b6550e0bfj,3204,sao paulo,SP
955fee9216a65b617aa5c0531780ce64,4782,sao paulo,SP
e9d99831abad74458942f21e16f33f92,3542,sao paulo,SP
66e0557ecc2b4dbea057e93f215f68d8,4771,sao paulo,SP
da8622b14eb17ae2831f4ac5b9dab84m,13405,piracicaba,SP
7c67e1448b00f6e969d365cea6b010an,8577,itaquaquecetuba,SP
8d956fec2e4337affcb520f56fd8cbfd,9780,sao bernardo do campo,SP
6288c69c4ce638e59925e59193f98b16,9010,santo andre,SP
dd2bdf855a9172734fbc3744021ae9b9,31255,belo horizonte,MG
05d2173d43ea568aa0540eba70d2ca76,37135,alfenas,MG
2e7ea2aafec5835e781b21d6d1faf1f1,2820,sao paulo,SP
da8622b14eb17ae2831f4ac5b9dab84a,13405,piracicaba,SP
e0878efa0e0b7e5313ac0b43bc04c081,80230,curitiba,PR
edb1ef5e36e0c8cd84eb3c9b003e486d,25957,teresopolis,RJ
620c87c171fb2a6dd6e8bb4dec959fc7,25645,petropolis,RJ
7178f9f4dd81dcef02f62acdf8151e01,89560,videira,SC
4b9750c8ad28220fe6702d4ecb7c898f,13484,limeira,SP
bf3c6d2a28b2b5501e6c15448982dcc9,4180,sao paulo,SP
a2e874074c877c5a05abae80ad6e488f,15070,sao jose do rio preto,SP
fa1a9dec3a9940c072684a46728bf1fc,88820,icara,SC
244c2f1bff6afe1f2eaf9bfe9b2aed38,8832,mogi das cruzes,SP
c33847515fa6305ce6feb1e818569f13,88359,brusque,SC
8648b1e89e9b349e32d3741b30ec737d,12308,jacarei,SP
2138ccb85b11a4ec1e37afbd1c8eda1f,8250,sao paulo,SP
f3da5b2ff499efb8d4a6d371d175d7dd,2407,sao paulo,SP
00ee68308b45bc5e2660cd833c3f81cv,3333,sao paulo,SP
d2374cbcbb3ca4ab1086534108cc3ab7,14940,ibitinga,SP
ff1fb4c404b2efe68b03350a8dc24122,8710,mogi das cruzes,SP
de722cd6dad950a92b7d4f82673f8834,51250,recife,PE
6560211a19b47992c3666cc44a7e94c0,5849,sao paulo,SP
282f23a9769b2690c5dda22e316f9941,31573,belo horizonte,MG
2e1a7d075abe038c1b2743005fe42ff1,3461,sao paulo,SP
4a3ca9315b744ce9f8e9374361493886,14940,ibitinga,SP
53243585a1d6dc2643021fd1853d8905,42738,lauro de freitas,BA
f8db351d8c4c4c22c6835c19a46f01b0,13324,salto,SP
4869f7a5dfa277a7dca6462dcf3b52b2,14840,guariba,SP
1e26c56af8d48424e1df0140a2401f83,13911,jaguariuna,SP
06bb3a2fe5e7b7a845b13e8fb91bd944,31844,belo horizonte,MG
f262cbc1c910c83959f849465454ddd3,3564,sao paulo,SP
6edacfd9f9074789dad6d62ba7950b9c,7135,guarulhos,SP
6560211a19b47992c3666cc44a7e94c3,5849,sao paulo,SP
00ee68308b45bc5e2660cd833c3f81cc,3333,sao paulo,SP
86ccac0b835037332a596a33b6949ee1,89041,blumenau,SC
ececbfcff9804a2d6b40f589df8eef2b,14407,franca,SP
9f505651f4a6abe901a56cdc21508025,4102,sao paulo,SP
3771c85bac139d2344864ede5d9341e3,18087,sorocaba,SP
1025f0e2d44d7041d6cf58b6550e0bfa,3204,sao paulo,SP
1336efc61c316ddf92c899eb817f7cae,19800,assis,SP
8b2492b7ff4468839593fafeed55bad9,24451,sao goncalo,RJ
b2ba3715d723d245138f291a6fe42594,3470,sao paulo,SP
0adac9fbd9a2b63cccaac4f8756c1ca8,13290,louveira,SP
8648b1e89e9b349e32d3741b30ec737e,12308,jacarei,SP
259f7b5e6e482c230e5bfaa670b6bb8f,8550,poa,SP
955fee9216a65b617aa5c0531780ce65,4782,sao paulo,SP
7c67e1448b00f6e969d365cea6b010ab,8577,itaquaquecetuba,SP
c510bc1718f0f2961eaa42a23330681a,13330,indaiatuba,SP
431af27f296bc6519d890aa5a05fdb11,14110,ribeirao preto,SP
1554a68530182680ad5c8b042c3ab563,37580,monte siao,MG
01fdefa7697d26ad920e9e0346d4bd1b,86050,londrina,PR
c003204e1ab016dfa150abc119207b24,7790,cajamar,SP
e26901d5ab434ce92fd9b5c256820a4e,9350,maua,SP
5b33b527da3c5b969cc99dc435cad09a,87702,paranavai,PR
620c87c171fb2a6dd6e8bb4dec959fc8,25645,petropolis,RJ
b4ffb71f0cb1b1c3d63fad021ecf93e1,3880,sao paulo,SP
cc419e0650a3c5ba77189a1882b7556a,9015,santo andre,SP
863d2ebcd347ce4922de7a0f9a5581d6,21041,rio de janeiro,RJ
fe2032dab1a61af8794248c8196565c9,13030,campinas,SP
7d13fca15225358621be4086e1eb0964,14050,ribeirao preto,SP
